level,sigma,k,n,chunk,pred,lin,lin_clip,chunk_lin,floor,dev,rho,rho_clip,rho_total,rel
worlds/l/cartpole_thrust.json,0.05,4,970,0.015938561409711838,0.003180326195433736,0.00111630919855088,0.00111630919855088,0.01492647361010313,0.015358355827629566,0.046711258590221405,0.6489953765894644,0.6489953765894644,0.9299617343212243,0.19953659014017844
worlds/l/cartpole_thrust.json,0.05,5,944,0.023906651884317398,0.00668288441374898,0.0015351659385487437,0.0015351659385487437,0.020898552611470222,0.02306935004889965,0.05375330150127411,0.7702839307843807,0.7702839307843807,0.9357849879616225,0.27954079249938407
worlds/l/cartpole_thrust.json,0.05,6,908,0.03087719902396202,0.01051284372806549,0.003464575856924057,0.003464575856924057,0.026092814281582832,0.03041030280292034,0.05901263654232025,0.6704435120941736,0.6704435120941736,0.88779500840619,0.3404727132116834
worlds/l/cartpole_thrust.json,0.05,7,885,0.04583429917693138,0.01219539251178503,0.007398724090307951,0.007398724090307951,0.043628014624118805,0.04265901446342468,0.06582105159759521,0.3933180844193259,0.3933180844193259,0.8385766942405489,0.2660756841663029
worlds/l/cartpole_thrust.json,0.1,1,1004,0.00811783317476511,0.0028731399215757847,0.0018529652152210474,0.0018529652152210474,0.0072313635610044,0.006184201221913099,0.04537106305360794,0.3550731026685322,0.3550731026685322,0.7717414024987446,0.3539294119158736
worlds/l/cartpole_thrust.json,0.1,2,992,0.01133870892226696,0.005551948677748442,0.005671147257089615,0.005671147257089615,0.011170378886163235,0.0074438005685806274,0.06298192590475082,-0.021469683215716184,-0.021469683215716184,0.49984188711709376,0.48964557744713977
worlds/l/cartpole_thrust.json,0.1,3,976,0.012195090763270855,0.007059849798679352,0.002379783894866705,0.002379783894866705,0.008602702058851719,0.008605757728219032,0.07819201052188873,0.662912956687566,0.662912956687566,0.8048572215604879,0.5789091640008281
worlds/l/cartpole_thrust.json,0.1,4,971,0.01786714792251587,0.009503450244665146,0.004853489808738232,0.004853489808738232,0.015572194010019302,0.015342537313699722,0.09020447731018066,0.48929181678382694,0.48929181678382694,0.7283567679751535,0.5318952015105367
worlds/l/cartpole_thrust.json,0.1,5,944,0.02563677914440632,0.019155727699398994,0.007547174580395222,0.007547174580395222,0.021487878635525703,0.02306935004889965,0.09967809915542603,0.6060095080265726,0.6060095080265726,0.7056114366830695,0.7471971261092905
worlds/l/cartpole_thrust.json,0.1,6,908,0.031854160130023956,0.02539493888616562,0.009307634085416794,0.009307634085416794,0.023611275479197502,0.03041030280292034,0.11327492445707321,0.6334846826314945,0.6334846826314945,0.7078047561943428,0.7972251907602412
worlds/l/cartpole_thrust.json,0.1,7,884,0.04112926498055458,0.03374375402927399,0.017980193719267845,0.017980193719267845,0.04034145176410675,0.04270727187395096,0.12842363119125366,0.46715490802625736,0.46715490802625736,0.5628369792708753,0.8204317301859789
worlds/l/cartpole_thrust.json,0.2,1,1004,0.010798611678183079,0.0068528130650520325,0.004826604854315519,0.004826604854315519,0.00796654261648655,0.006184201221913099,0.0794757604598999,0.29567539512638497,0.29567539512638497,0.5530346864803994,0.6346013051749123
worlds/l/cartpole_thrust.json,0.2,2,992,0.016544688493013382,0.013072081841528416,0.01118424255400896,0.01118424255400896,0.01605893298983574,0.0074438005685806274,0.119713693857193,0.14441764597296347,0.14441764597296347,0.32399799737952584,0.7901074624069588
worlds/l/cartpole_thrust.json,0.2,3,976,0.01862228289246559,0.016164042055606842,0.007425166200846434,0.007425166200846434,0.01215907372534275,0.008605757728219032,0.15594038367271423,0.5406367927463505,0.5406367927463505,0.6012751903876088,0.8679946572042824
worlds/l/cartpole_thrust.json,0.2,4,971,0.025292279198765755,0.023870524019002914,0.01631678082048893,0.01631678082048893,0.023998159915208817,0.015342537313699722,0.18602444231510162,0.3164464756827533,0.3164464756827533,0.3548710777601578,0.9437869885671585
worlds/l/cartpole_thrust.json,0.2,5,943,0.03687411919236183,0.04061640053987503,0.025540666654706,0.025540666654706,0.0331401564180851,0.023093808442354202,0.2133304625749588,0.371173557596973,0.371173557596973,0.3073552070093504,1.101488020038954
worlds/l/cartpole_thrust.json,0.2,6,908,0.04750610515475273,0.05435028672218323,0.03444261848926544,0.03444261848926544,0.0435313880443573,0.03041030280292034,0.24278166890144348,0.36628451170235343,0.36628451170235343,0.27498542814513094,1.144069515805081
worlds/l/cartpole_thrust.json,0.2,7,883,0.051911722868680954,0.0649232491850853,0.048832789063453674,0.048832789063453674,0.060200054198503494,0.04275562986731529,0.2715100049972534,0.24783818314084094,0.24783818314084094,0.05931095396344166,1.2506471678722566
worlds/l/cartpole_thrust.json,0.4,1,1004,0.014368281699717045,0.011645779944956303,0.01489975769072771,0.01489975769072771,0.018043948337435722,0.006184201221913099,0.15118572115898132,-0.27941260792761935,-0.27941260792761935,-0.03698953028051588,0.8105200182138441
worlds/l/cartpole_thrust.json,0.4,2,992,0.02362547256052494,0.021852634847164154,0.016940969973802567,0.016940969973802567,0.018730798736214638,0.0074438005685806274,0.22889620065689087,0.22476305066704494,0.22476305066704494,0.2829362489828584,0.9249607512053339
worlds/l/cartpole_thrust.json,0.4,3,976,0.031400468200445175,0.034155890345573425,0.018799323588609695,0.018799323588609695,0.02097044698894024,0.008605757728219032,0.30808937549591064,0.4496022970443202,0.4496022970443202,0.4013043541706435,1.0877509891743966
